難易度,体験,入塾,満足,経理,総合スコア,ランク,退塾数,動員合計,入退差,最終デッキ,削除カード
pro,36,36,13,20,8,A,2,36,34,"プロジェクター授業, 生徒面談の基本, 未入金家庭へ電話, 保護者説明会, 振込用紙印刷, 校門前ビラ配り, プロジェクター授業, できるまで居残り！","問合対応の基本, 問合対応の基本, 生徒面談の基本, 元塾生に講習案内, 質問対応の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, できるまで居残り！"
fresh,30,28,14,16,9.8,S+,1,30,27,"ここが出る！テスト対策, 努力の結晶 合格実績掲示, 差し入れ経費精算, 教室清掃, 褒めて励ます授業, 学力確認＆向上 公開模試, ここが出る！テスト対策, 備品注文","経理精算の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 元塾生に講習案内"
pro,33,33,26,11,4,C,4,33,29,"経理精算の基本, 兄弟紹介, 入塾手続きのご案内, 苦手発見！質問対応, ごほうび差し入れスイーツ, チラシ折り, 学力確認＆向上 公開模試, 宿題チェック, 設問の急所は？教材研究, 卒業生からの手紙, 兄弟紹介","質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 校門前ビラ配り, ごほうび差し入れスイーツ"
pro,27,27,20,16,9,A,0,27,27,"休み時間トーク, 元塾生に講習案内, 兄弟紹介, 苦手発見！質問対応, 兄弟紹介, 進学相談フェア出展, 入塾後の未来へ 進路説明会, 機材故障は本部に相談, 学力確認＆向上 公開模試, 設問の急所は？教材研究, 笑顔伝わる教室通信, 宿題チェック","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 私も載ったよ！成績UP掲示"
pro,35,18,31,25,8,A,0,35,18,"卒業生からの手紙, 設問の急所は？教材研究, 設問の急所は？教材研究, 苦手発見！質問対応, 締切間近の書類リマインド, 兄弟紹介, 校門前ビラ配り, 今だけ！体験生特典, 日々の出迎え, できるまで居残り！, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 保護者面談"
pro,29,22,22,14,7,B+,1,29,21,"卒業生からの手紙, 兄弟紹介, 学力確認＆向上 公開模試, ごほうび差し入れスイーツ, 締切間近の書類リマインド, 休み時間トーク, 季節のデコレーション, テスト予想問題的中！, ごほうび差し入れスイーツ, チラシ折り, 季節のデコレーション, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, 経理精算の基本, 友人紹介, 設問の急所は？教材研究, 兄弟紹介"
pro,37,24,25,27,9,A,0,37,24,"日々の出迎え, 努力の結晶 合格実績掲示, 季節のデコレーション, 入塾後の未来へ 進路説明会, 提出書類ファイリング, テスト予想問題的中！, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 元塾生に講習案内, 補習大会"
pro,31,31,16,12,5,B,3,31,28,"今だけ！体験生特典, プロジェクター授業, チラシ折り, 季節のデコレーション, 友人紹介, 兄弟紹介, 休み時間トーク, 入塾手続きのご案内","生徒面談の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 日々の出迎え, 経理精算の基本, ごほうび差し入れスイーツ"
pro,35,25,33,19,9,A,0,35,25,"チラシ折り, 機材故障は本部に相談, 兄弟紹介, 締切間近の書類リマインド, 進学相談フェア出展, テスト予想問題的中！, チラシ折り, 苦手発見！質問対応, 卒業生からの手紙, 入塾手続きのご案内, 卒業生からの手紙","問合対応の基本, 問合対応の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 備品注文, 補習大会, 兄弟紹介, 季節のデコレーション, 友人紹介"
pro,34,19,36,17,9,A,0,34,19,"休み時間トーク, 苦手発見！質問対応, チラシ折り, 友人紹介, 私も載ったよ！成績UP掲示, スタンプ帳キャンペーン, 人気の秘密は？他塾研究, 保護者説明会, 卒業生からの手紙, 笑顔伝わる教室通信, 入塾手続きのご案内","問合対応の基本, 問合対応の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 校門前ビラ配り, 事務リーダー1日派遣, 季節のデコレーション"
pro,54,9,20,19,6,B,0,54,9,"友人紹介, 学力確認＆向上 公開模試, 進学相談フェア出展, 校門前ビラ配り, 進学相談フェア出展, チラシ折り, 元塾生に講習案内, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 事務リーダー1日派遣"
pro,35,28,25,14,9,A,1,35,27,"宿題チェック, スタンプ帳キャンペーン, 機材故障は本部に相談, 校門前ビラ配り, プロジェクター授業, 友人紹介, 進学相談フェア出展, 校門前ビラ配り","質問対応の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, プロジェクター授業"
fresh,25,19,22,21,8.9,S,0,25,19,"教室清掃, 心を掴む1日見学, 学力確認＆向上 公開模試, 休み時間トーク, 元塾生に講習案内, 入塾後の未来へ 進路説明会, 兄弟紹介, 質問対応の基本","質問対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 未入金家庭へ電話, ポスティング"
pro,37,32,23,14,8,A,1,37,31,"兄弟紹介, 兄弟紹介, 振込用紙印刷, 機材故障は本部に相談, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 苦手発見！質問対応, 校門前ビラ配り","質問対応の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 褒めて励ます授業, 経理精算の基本"
fresh,19,16,19,11,4,C,4,19,12,"補習大会, 振込用紙印刷, プロジェクター授業, できるまで居残り！, 事務リーダー1日派遣, スタンプ帳キャンペーン, 兄弟紹介, ポスティング","質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 褒めて励ます授業"
fresh,24,15,13,12,3,D,5,24,10,"事務リーダー1日派遣, 補習大会, 質問対応の基本, 生徒面談の基本, 努力の結晶 合格実績掲示, 質問対応の基本, 兄弟紹介, 生徒面談の基本","元塾生に講習案内, 経理精算の基本, ポスティング, 教室清掃, 保護者面談, 問合対応の基本, 問合対応の基本, 苦手発見！質問対応, 経理精算の基本"
fresh,18,17,19,12,7,A,3,18,14,"日々の授業, スタンプ帳キャンペーン, 事務リーダー1日派遣, 兄弟紹介, 入塾後の未来へ 進路説明会, 補習大会, ここが出る！テスト対策, 元塾生に講習案内","質問対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 日々の出迎え"
fresh,23,21,20,17,9.1,S+,0,23,21,"校門前ビラ配り, 入塾後の未来へ 進路説明会, ここが出る！テスト対策, 友人紹介, 差し入れ経費精算, 入塾後の未来へ 進路説明会, 友人紹介, 元塾生に講習案内","問合対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 振込用紙印刷"
fresh,26,25,13,3,3,D,14,26,11,"入塾後の未来へ 進路説明会, 入塾後の未来へ 進路説明会, 心を掴む1日見学, 質問対応の基本, ポスティング, 日々の授業, 苦手発見！質問対応, 笑顔伝わるお便り配布","経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 校門前ビラ配り, できるまで居残り！"
pro,30,23,35,11,3,C,4,30,19,"赤字覚悟！？ 大抽選会, 事務リーダー1日派遣, 日々の授業, 褒めて励ます授業, 友人紹介, スタンプ帳キャンペーン, スタンプ帳キャンペーン, 苦手発見！質問対応, 保護者面談","質問対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 人気の秘密は？他塾研究"
fresh,27,19,15,5,2,D,10,27,9,"事務リーダー1日派遣, 日々の授業, 校門前ビラ配り, ここが出る！テスト対策, スタンプ帳キャンペーン, 今だけ！体験生特典, 心を掴む1日見学, 教室清掃","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 振込用紙印刷, 質問対応の基本, 問合対応の基本, 問合対応の基本"
pro,43,29,15,30,10,A+,0,43,29,"友人紹介, 教室清掃, チラシ折り, 学力確認＆向上 公開模試, 努力の結晶 合格実績掲示, 進学相談フェア出展, 振込用紙印刷, 未入金家庭へ電話","質問対応の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 質問対応の基本, チラシ折り"
pro,43,35,15,14,10,A+,1,43,34,"今だけ！体験生特典, 入塾手続きのご案内, 褒めて励ます授業, 元塾生に講習案内, 保護者説明会, 保護者説明会, 学力確認＆向上 公開模試, 振込用紙印刷","質問対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 苦手発見！質問対応"
pro,44,38,24,13,9,A,2,44,36,"苦手発見！質問対応, できるまで居残り！, 提出書類ファイリング, テスト予想問題的中！, 今だけ！体験生特典, 学力確認＆向上 公開模試, 季節のデコレーション","問合対応の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 校門前ビラ配り, チラシ折り"
pro,23,22,25,17,8,A,0,23,22,"苦手発見！質問対応, 入塾後の未来へ 進路説明会, 褒めて励ます授業, テスト予想問題的中！, 保護者説明会, 日々の授業, 友人紹介, 生徒面談の基本","質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 元塾生に講習案内, 質問対応の基本, 事務リーダー1日派遣, 経理精算の基本, 経理精算の基本"
pro,42,29,16,19,10,A+,0,42,29,"教室清掃, チラシ折り, 今だけ！体験生特典, 振込用紙印刷, 苦手発見！質問対応, 進学相談フェア出展, 振込用紙印刷, 入塾手続きのご案内","経理精算の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 努力の結晶 合格実績掲示"
pro,30,30,25,20,10,A+,0,30,30,"入塾後の未来へ 進路説明会, スタンプ帳キャンペーン, 宿題チェック, 友人紹介, 機材故障は本部に相談, スタンプ帳キャンペーン, 振込用紙印刷, 生徒面談の基本","問合対応の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 経理精算の基本, 学力確認＆向上 公開模試, 経理精算の基本, 校門前ビラ配り"
