category,rarity,cardName,topEffect,effect 【】=カードを配置できるスタッフ。〈〉=以降の効果が発動する条件。
動員,N,問合対応の基本,体1,体験+1。
教務,N,質問対応の基本,入1,入塾+1。
庶務,N,経理精算の基本,経1,経理+1。
応対,N,生徒面談の基本,満1,満足+1。
動員,R,ポスティング,体2,体験+2。
教務,R,宿題チェック,入2,入塾+2。
庶務,R,提出書類チェック,経2,経理+2。
応対,R,日々の出迎え,満2,満足+2。
動員,R,元塾生に講習案内,"体1, <長>体2",体験+1。〈室長〉さらに体験+2。
教務,R,日々の授業,[長講]入3,【室長・講師】入塾+3。
庶務,R,備品注文,"[事]経2, 満1",【事務】経理+2、満足+1。
応対,R,休み時間トーク,"満1, <講事>満2",満足+1。〈講師・事務〉さらに満足+2。
動員,R,校門前ビラ配り,"体1, 満1",体験+1、満足+1。
教務,R,褒めて励ます授業,"[長講]入2, 満1",【室長・講師】入塾+2、満足+1。
庶務,R,振込用紙印刷,"経1, 入1",経理+1、入塾+1。
応対,R,保護者面談,"満1, 体1",満足+1、体験+1。
動員,SR,心を掴む1日見学,"[長講]体3, <長>入1",【室長・講師】体験+3。〈室長〉さらに入塾+1。
教務,SR,苦手発見！質問対応,"[長講]入2, <講>満2",【室長・講師】入塾+2。〈講師〉さらに満足+2。
庶務,SR,締切間近の書類リマインド,"経2, <事>満2",経理+2。〈事務〉さらに満足+2。
応対,SR,教室清掃,"満2, <事>経2",満足+2。〈事務〉さらに経理+2。
動員,SR,保護者説明会,[長]体5,【室長】体験+5。
教務,SR,ここが出る！テスト対策,[長講]入4,【室長・講師】入塾+4。
庶務,SR,差し入れ経費精算,"経1, <事>経3",経理+1。〈事務〉さらに経理+3。
応対,SR,笑顔伝わるお便り配布,"満3, 入1",満足+3、入塾+1。
動員,SR,友人紹介,"体3, <満8+>入2",体験+3。〈満足8以上〉さらに入塾+2。
教務,SR,できるまで居残り！,"入5, 満足-1",入塾+5、満足-1。
庶務,SR,未入金家庭へ電話,"[事]経5, <満6->[!]満-1",【事務】経理+5。〈満足6以下〉満足-1。
応対,SR,スタンプ帳キャンペーン,"[長]満3, 体2, 入1, [!]経-1",【室長】満足+3、体験+2、入塾+1、経理-1。
動員,SR,兄弟紹介,"[長講]<満8+>体3, 入3",【室長・講師】〈満足8以上〉体験+3、入塾+3。
教務,SR,補習大会,"[長講]<入9->入4, 満2",【室長・講師】〈入塾9以下〉入塾+4、満足+2。
庶務,SR,機材故障は本部に相談,"経3, <満10->満2",経理+3。〈満足10以下〉さらに満足+2。
応対,SR,私も載ったよ！成績UP掲示,<入8+>満6,〈入塾8以上〉満足+6。
動員,SSR,努力の結晶 合格実績掲示,体6,体験+6。
教務,SSR,迅速返却！全校模試,[長講]入5,【室長・講師】入塾+5。
応対,SSR,赤字覚悟！？ 大抽選会,"体2, 満6, [!]経-1",体験+2、満足+6、経理-1。
教務,SSR,入塾後の未来へ 進路説明会,"[長]入3, 満3",【室長】入塾+3、満足+3。
動員,SSR,テレビCM放映,"[長]体4, 満3",【室長】体験+4、満足+3。
庶務,SSR,事務リーダー1日派遣,[事]<経11->経=12,【事務】〈経理11以下〉経理を12にする。
動員,SSR,今だけ！体験生特典,"[長]体7, 入3, [!]経-2",【室長】体験+7、入塾+3、経理-2。
教務,SSR,プロジェクター授業,"[長講]入6, [!]満-1",【室長・講師】入塾+6、満足-1。
