cardNo,category,rarity,cardName,topEffectFresh,effectFresh,topEffectPro,effectPro
1,動員,N,問合対応の基本,体1,体験+1。,体2,体験+2。
2,動員,N,問合対応の基本,体1,体験+1。,体2,体験+2。
3,教務,N,質問対応の基本,入1,入塾+1。,入2,入塾+2。
4,応対,N,生徒面談の基本,満1,満足+1。,満2,満足+2。
5,庶務,N,経理精算の基本,経1,経理+1。,経2,経理+2。
6,動員,R,チラシ折り,体2,体験+2。,"🤹, 体2",[並行🤹]体験+2。
7,動員,R,元塾生に講習案内,"体1, <長>体2","体験+1。
〈室長〉さらに体験+2。","体3, <長>体2","体験+3。
〈室長〉さらに体験+2。"
8,動員,R,校門前ビラ配り,"体1, 満1",体験+1、満足+1。,"体3, 満1",体験+3、満足+1。
9,教務,R,宿題チェック,入2,入塾+2。,"🤹, 入2",[並行🤹]入塾+2。
10,教務,R,日々の授業,[長講]入3,【室長・講師】入塾+3。,"[長講]入3, <長>入1",【室長・講師】入塾+3。〈室長〉さらに入塾+1。
11,教務,R,褒めて励ます授業,"[長講]入2, 満1",【室長・講師】入塾+2、満足+1。,"[長講]入2, 満2",【室長・講師】入塾+2、満足+2。
12,応対,R,日々の出迎え,満2,満足+2。,"🤹, 満2",[並行🤹]満足+2。
13,応対,R,休み時間トーク,"満1, <講事>満2","満足+1。
〈講師・事務〉さらに満足+2。","🤹, <長>💡, <講>体2, <事>満3","[並行🤹] 〈室長〉[発想💡]。
〈講師〉さらに体験+2。
〈事務〉さらに満足+3。"
14,応対,R,保護者面談,"満1, 体1",満足+1、体験+1。,"満3, 体2",満足+3、体験+2。
15,庶務,R,提出書類ファイリング,経2,経理+2。,"🤹, 経2",[並行🤹]経理+2。
16,庶務,R,備品注文,"[事]経2, 満1",【事務】経理+2、満足+1。,"[事]経4, 満1",【事務】経理+4、満足+1。
17,庶務,R,振込用紙印刷,"経1, 入1",経理+1、入塾+1。,"経2, 入2",経理+2、入塾+2。
18,動員,SR,心を掴む1日見学,"[長講]体3, <長>入1","【室長・講師】体験+3。
〈室長〉さらに入塾+1。","[長講]体3, 入1, <長>入2","【室長・講師】体験+3、入塾+1。
〈室長〉さらに入塾+2。"
19,動員,SR,保護者説明会,"[長]体4, 入1",【室長】体験+4、入塾+1。,"[長]体5, 入1, 満1",【室長】体験+5、入塾+1、満足+1。
20,動員,SR,友人紹介,"体3, <満8+>入2","体験+3。
〈満足8以上〉さらに入塾+2。","[長講]<満10+>体3, 入3, [!]経-1","【室長・講師】
〈満足10以上〉体験+3、入塾+3、経理-1。"
21,動員,SR,兄弟紹介,"[長講]<満8+>体3, 入3","【室長・講師】
〈満足8以上〉体験+3、入塾+3。","🤹, 体2, <満7+>入2","[並行🤹]体験+2。
〈満足7以上〉さらに入塾+2。"
22,動員,SR,進学相談フェア出展,"[長]体6, [!]経-2",【室長】体験+6、経理-2。,"[長講]💤, 体7, [!]経-1, <長>入2","【室長・講師】
[疲労💤]体験+7、経理-1。
〈室長〉さらに入塾+2。"
23,動員,SR,人気の秘密は？他塾研究,"<体8+>体3, 満2",〈体験8以上〉体験+3、満足+2。,"💡, 🗑️",[発想💡][整理🗑️]
24,教務,SR,苦手発見！質問対応,"[長講]入2, <講>満3","【室長・講師】入塾+2。
〈講師〉さらに満足+3。","[長講]入3, <講>満3","【室長・講師】入塾+3。
〈講師〉さらに満足+3。"
