受信日時,ゲーム開始日時,ゲーム完了日時,ビルドバージョン,難易度,体験,入塾,満足,経理,総合スコア,ランク,目標ポイント,退塾数,動員合計,入退差,最終デッキ,削除カード
2026/04/06 2:04:20,2026-04-05T16:52:46.343Z,2026-04-05T17:04:18.025Z,v20260406-1300,pro,30,26,27,15,8,S+,8,0,30,26,"できるまで居残り！, 補習大会, 進学相談フェア出展, 努力の結晶 合格実績掲示, 締切間近の書類リマインド, 進学相談フェア出展, 日々の授業, 入塾手続きのご案内",
2026/04/08 8:57:00,2026-04-07T00:35:26.448Z,2026-04-07T23:56:55.912Z,v20260407-0900,pro,30,26,28,15,9,A,9,0,30,26,"休み時間トーク, 日々の授業, 教室清掃, 兄弟紹介, プロジェクター授業, チラシ折り, 友人紹介, 教室清掃, 保護者説明会, ごほうび差し入れスイーツ, 友人紹介, 機材故障は本部に相談",
2026/04/08 14:30:24,2026-04-08T00:43:31.649Z,2026-04-08T05:30:22.403Z,v20260408-0938,pro,21,21,26,12,4,C,4,3,21,18,"入塾手続きのご案内, 宿題チェック, 休み時間トーク, 設問の急所は？教材研究, 機材故障は本部に相談, 締切間近の書類リマインド, 進学相談フェア出展, 努力の結晶 合格実績掲示, 兄弟紹介, 友人紹介, 締切間近の書類リマインド",
2026/04/08 15:05:30,2026-04-08T05:33:57.011Z,2026-04-08T06:05:28.776Z,v20260408-1212,pro,43,18,20,12,4,C,4,3,43,15,"質問対応の基本, 補習大会, 振込用紙印刷, 苦手発見！質問対応, 保護者説明会, 提出書類ファイリング, 友人紹介, 生徒面談の基本",
2026/04/08 15:29:08,2026-04-08T06:06:18.215Z,2026-04-08T06:29:06.293Z,v20260408-1212,pro,30,29,22,13,8,A,8,2,30,27,"チラシ折り, 機材故障は本部に相談, 友人紹介, スタンプ帳キャンペーン, 提出書類ファイリング, 入塾後の未来へ 進路説明会, 進学相談フェア出展, ごほうび差し入れスイーツ, 笑顔伝わる教室通信, 休み時間トーク",
2026/04/09 1:07:47,2026-04-08T15:55:31.152Z,2026-04-08T16:07:42.677Z,v20260408-1212,pro,22,18,32,15,7,B+,7,0,22,18,"問合対応の基本, 休み時間トーク, 提出書類ファイリング, 機材故障は本部に相談, プロジェクター授業, 私も載ったよ！成績UP掲示, 保護者説明会, 進学相談フェア出展, 赤字覚悟！？ 大抽選会, 教室清掃",
2026/04/09 1:16:01,2026-04-08T16:08:49.469Z,2026-04-08T16:15:59.634Z,v20260408-1212,fresh,27,27,14,15,8,S,8,1,27,26,"振込用紙印刷, 努力の結晶 合格実績掲示, 苦手発見！質問対応, ここが出る！テスト対策, できるまで居残り！",
2026/04/09 18:22:29,2026-04-09T02:31:17.942Z,2026-04-09T09:22:27.077Z,v20260409-1017,pro,30,30,30,14,9,A,9,1,30,29,"赤字覚悟！？ 大抽選会, 進学相談フェア出展, 校門前ビラ配り, 教室清掃, ごほうび差し入れスイーツ, 提出書類ファイリング, プロジェクター授業, 兄弟紹介",
2026/04/09 18:40:03,2026-04-09T09:23:48.302Z,2026-04-09T09:40:01.914Z,v20260409-1020,pro,25,23,26,15,8,A,8,0,25,23,"褒めて励ます授業, 休み時間トーク, 機材故障は本部に相談, 兄弟紹介, できるまで居残り！, 学力確認＆向上 公開模試, 卒業生からの手紙, 提出書類ファイリング, 締切間近の書類リマインド",
2026/04/09 23:32:04,2026-04-09T14:23:06.709Z,2026-04-09T14:32:00.512Z,v20260409-1020,fresh,22,15,15,15,8.2,S+,8,0,22,15,"締切間近の書類リマインド, 兄弟紹介, 経理精算の基本, ここが出る！テスト対策, 教室清掃, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 提出書類チェック",
2026/04/09 23:39:03,2026-04-09T14:33:35.831Z,2026-04-09T14:39:01.297Z,v20260409-1020,fresh,23,17,20,13,7,A,7,2,23,15,"学力確認＆向上 公開模試, 締切間近の書類リマインド, 教室清掃, 友人紹介, プロジェクター授業, 心を掴む1日見学, 褒めて励ます授業, ポスティング",
2026/04/09 23:57:36,2026-04-09T14:48:51.177Z,2026-04-09T14:57:30.493Z,v20260409-1020,fresh,20,16,23,15,8.3,S+,8,0,20,16,"入塾後の未来へ 進路説明会, 褒めて励ます授業, 心を掴む1日見学, 兄弟紹介, スタンプ帳キャンペーン, 経理精算の基本, 経理精算の基本, 締切間近の書類リマインド",
