category,rarity,cardName,effect 【】=カードを配置できるスタッフ。〈〉=以降の効果が発動する条件。
動員,N,問合対応の基本,体験+1。
教務,N,質問対応の基本,入塾+1。
庶務,N,経理精算の基本,経理+1。
応対,N,生徒面談の基本,満足+1。
動員,R,ポスティング,体験+2。
教務,R,宿題チェック,入塾+2。
庶務,R,提出書類チェック,経理+2。
応対,R,日々の出迎え,満足+2。
動員,R,元塾生に講習案内,体験+1。〈室長〉さらに体験+2。
教務,R,日々の授業,【室長・講師】入塾+3。
庶務,R,備品注文,【事務】経理+2、満足+1。
応対,R,休み時間トーク,満足+1。〈講師・事務〉さらに満足+2。
動員,R,校門前ビラ配り,体験+1。〈室長〉さらに体験+2。
教務,R,褒めて励ます授業,【室長・講師】入塾+3。
庶務,R,振込用紙印刷,【事務】経理+3。
応対,R,保護者面談,満足+1。〈講師・事務〉さらに満足+2。
動員,SR,心を掴む1日見学,【室長・講師】体験+3。〈室長〉さらに入塾+2。
教務,SR,苦手発見！質問対応,【室長・講師】入塾+2。〈講師〉さらに満足+2。
庶務,SR,締切間近の書類リマインド,経理+3。〈事務〉さらに満足+2。
応対,SR,教室清掃,満足+3。〈事務〉さらに経理+2。
動員,SR,保護者説明会,【室長】体験+5。
教務,SR,ここが出る！テスト対策,【室長・講師】入塾+4。
庶務,SR,差し入れ経費精算,経理+1。〈事務〉さらに経理+4。
応対,SR,笑顔伝わるお便り配布,満足+4、入塾+1。
動員,SR,友人紹介,体験+4。〈満足8以上〉さらに入塾+2。
教務,SR,できるまで居残り！,入塾+4、満足-1。
庶務,SR,未入金家庭へ電話,【事務】経理+2。〈満足8以上〉さらに経理+4。
応対,SR,スタンプ帳キャンペーン,【室長】体験+4、入塾+1、経理-1。
動員,SR,兄弟紹介,【室長・講師】〈満足8以上〉体験+3、入塾+3。
教務,SR,補習大会,【室長・講師】〈入塾9以下〉入塾+4、満足+2。
庶務,SR,機材故障は本部に相談,経理+3。〈満足10以下〉さらに満足+2。
応対,SR,私も載ったよ！成績UP掲示,〈入塾8以上〉満足+6。
動員,SSR,努力の結晶 合格実績掲示,体験+6。
教務,SSR,迅速返却！全校模試,【室長・講師】入塾+5。
応対,SSR,赤字覚悟！？ 大抽選会,体験+2、満足+6、経理-1。
教務,SSR,入塾後の未来へ 進路説明会,【室長】入塾+3、満足+3。
動員,SSR,テレビCM放映,【室長】体験+4、満足+3。
庶務,SSR,事務リーダー1日派遣,【事務】〈経理13以下〉経理を14にする。
動員,SSR,今だけ！体験生特典,【室長】体験+6、入塾+3、経理-2。
教務,SSR,プロジェクター授業,【室長・講師】入塾+6、経理-1。
